"风险投资（VC）,投资,险峰长青（险峰华兴）,经纬创投",险峰李黎和经纬丛真为什么都在 2017 年 2 月被爆离职？,"相关背景：,昨天上午，投资人丛真在其公众号“且听真言”发布名为“十年磨剑，再启新帆”的文章，称明天将是自己在经纬创投担任合伙人的最后一天。3月1日起也将启动新基金的募集工作。其公号的功能介绍中也更替为：天善资本管理合伙人。他的新东家天善资本也同期发文，欢迎其成为创始人任旭阳之后的第二位管理合伙人。 同天下午，网上传出险峰长青管理合伙人李黎…"
"银行,商业银行",J.P. Morgan 都有哪些商业贡献？,他开创了一个怎样的商业模式
"互联网,创业,产品,天使投资,创业融资",刚拿到 550 万美元 A 轮融资的支付公司 Cover 是怎样一家公司？,是一家提供支付解决方案的初创公司，他们想做的就是帮助到餐厅用餐的食客省去繁琐的排队结账过程，让他们可以专心地吃饭聊天，聊完走人就好。Cover 是怎么做的呢？它提供了一套轻便的解决方案，可以融入餐厅自有的 POS 系统里。当用户到店时，只要和服务员说他们最后会用 Cover 付费，就可以在饭后结账时一键在移动端上支付，不需要看账单也不需要等待。如果人多有 AA 需求的话，Cover 也会按人头自动计算出平摊的费用，大…
"创业,百度,谷歌 (Google),算法与数据结构,ACM 竞赛",如何评价楼天城创办 Pony.ai？,楼天城2012年从清华大学计算机系博士毕业，先后在Google工作3年半的时间（2012-2015），Quora工作3个月，百度工作6个月（201604-201610），并于2016年年末创办Pony.ai
"创业,人工智能,机器学习,高科技",为什么知图科技和孟醒分道扬镳？,据说是被新浪收购了？
"游戏,职业生涯,程序员,职业规划",游戏程序员如何进行职业规划？,如题。应届本科生，已签国内某top2网游公司，最近开始考虑职业规划的问题。 目前是客户端服务器双修，同时也在各种渠道学习策划知识，目的很单纯，就是为了以后能发现靠谱的策划和美工一起拉出来创业。 最近思考了一些，总觉得在国内游戏程序员的出路似乎就是创业，但是对于应届生来说，再过几年游戏行业的创业切入点似乎又远没这几年合适。 比较纠结，求各位游戏行业的前辈指点！
"心理咨询,心理咨询师,督导",对咨询师来说，选择「师徒」式的督导与同辈督导有什么区别？, 各有什么优劣呢？
"心理学,心理学家大会",本届心理学家大会上提出的「1879计划」是什么？,1879年冯特在德国莱比锡大学创立世界上第一个心理学实验室，心理学自此成为一门以实验为基础的独立学科，1879这个数字对心理学而言，可以说相当有纪念意义。 故而想问问，以之命名的这个「1879计划」是个怎样的项目？有哪些值得关注之处？
"心理学,行为,实验心理学,心理实验,心理学专业",现代心理学的实验是否以脑电之类的居多而行为实验越来越少？为什么？,想了解心理学的方向
"心理学,社会心理,犯罪心理学",在心理学领域有哪些设计「精妙」的实验？,
"互联网,移动互联网,上海",上海的互联网圈子有哪些呢？,希望能在上海找到互联网创业圈子
"上海,戏剧,浸没式戏剧",浸没式戏剧 Sleep No More（不眠之夜）2016 - 2017 年上海站的观剧体验是怎样的？,"浸没式戏剧《Sleep No More》今年终于落户上海。这两天已经进行了带观众的内部试演，即将于11月底开始预演，12月14日正式开演。这部剧已经在纽约火了多年，我在搜功课的过程中也围观了各种纽约版观剧体验。此刻更加迫不及待地想听一听上海版的观看感受。剧场、演员、灯光、服务、观众等等，有什么有趣的或者令人印象深刻的事发生？和纽约版相比的相似与区别之处？谢谢！（上海站官方售票方式只有官网 ,）"
"上海,历史,文化差异,文化",上海人的”洋派“表现在哪些细节上？1949 年前、后又有哪些异同？,
"设计,Airbnb（爱彼迎）",Airbnb Design Tools team 是如何工作的？,topics,title,desc
"电影,剪辑,分镜头剧本",分镜头如何影响电影的质量？,经常看到影评里面强调某部电影的分镜头运用很多，并且说这个如何提高了电影的等级。很好奇为什么分镜头会对一部电影有如此大的影响。以及为什么分镜头多了电影就会好呢
"电影,小说,X 的有趣故事,香港电影,脑洞",“九龙皇帝”能够延伸出什么样的故事？,1951年，香港发生了一件不大不小的事。仿佛某天醒来，大家突然发现，墙上、垃圾桶上、灯柱上、电箱上，密密麻麻的全是字。而写字的人，是香港著名的疯子，“九龙皇帝”——曾灶财。 曾灶财16岁定居香港，先后做过建筑工和垃圾工，不料却在工作中压伤了腿，从此变得一瘸一拐。皇帝是曾灶财的自封，很多人笑他：居然还想在那个时代称帝！但他做这个决定，并不是空穴来风。三十多岁时，他的房子被港英政府强拆。这种强权，让曾灶财…
"电影,市场营销,电影产业,中国电影市场,电影营销公司",2013 年中国电影在营销上有哪些可值得分享的案例？,并请简述该案例的亮点，包括策划、执行、反馈总结...
"阅读,网页设计‮,前端开发,CSS,屏幕,排版,颜色,眼睛",什么背景颜色 + 字体颜色 + 字体 + 字号组合最适合屏幕阅读？,不知道中英文字体外是否需要区分开，需要的话回答时分开好了。 主要是CSS中的HSLA颜色和px大小，衡量。 搜索结果有“柔和的绿色背景 字体用楷书的深蓝色字”，这回有没有依据？ 
"虚拟现实（VR）,Oculus VR,PlayStation VR,Cardboard,HTC Vive",有哪些好玩的VR游戏？,最近入手谷歌纸盒，想看看有什么游戏好玩。 其他vr设备也都可以说说，看看目前的vr游戏发展到什么样了。
"建筑师,建筑,南京,建筑学,建筑设计",南京的建筑师圈都有哪些人，分别是哪几个圈子？,"基本算得上成名，有作品建成，上过杂志，在学校教书或独立开业，非大院总工那种。 主要是东南和南大的老师？ 齐康，张雷，朱雷，韩冬青，傅筱…… 评论的葛明…… 求补充，求八卦。 两京直通：, 沪宁专线："
"生活,装修,生活方式,室内设计",家居餐厅设计有哪些不同方式以及各自优点？,"⑴独立餐厅 ⑵厨房兼餐厅
 ⑶客厅兼餐厅
 ⑷过厅兼餐厅
 各自的优点在哪"
"Mac,工业设计,苹果公司 (Apple Inc.),WWDC 2013,Mac Pro (2013)",2013 款 Mac Pro 在工业设计方面，对比苹果之前推出过的其他异形主机，有哪些继承和突破？,
"建筑师,建筑,建筑学,建筑设计,建筑系",时至今日，建筑老八校的建筑学专业发展如何？,
"博客,游戏,游戏设计,X 是谁,游戏测评",“战略航空军元帅的旗舰 ”的作者 Necroman 是谁？,Blog 地址是 
"上海,建筑师,建筑,建筑设计,建筑事务所",上海有哪些优秀而又规模不大的建筑师事务所？,除了国内的，是否可以列一些国外建筑师在上海经营的事务所？
"健身,健身房,健身器械",商业健身房顶级器械品牌孰优孰劣？,"大家好： 本人在筹备一个健身房，定位中高端，设备希望在Precor, LifeFitness, Technogym, Star Trac中选择。搜遍网络找不到关于4个品牌的测评。 综合来看前三者似乎位居世界顶尖，Star Trac次之，但各品牌在有氧、力量、功能性等等应有自己特色和擅长的点，望哪位大神能够赐教？！ 不甚感激！ Slash"
"互联网,创业",如何评价 SoundCloud 的失败？,"Sources say the streaming music service has been trying to raise more than $100 million since last summer, without success. It has also talked to potential acquirers, including Spotify, without closing a deal.
 The upshot, according to people familiar with the company: SoundCloud is now at a point where it may sell for less than the $700 million investors thought it was worth a few years ago. On…"
"健身,运动",如何评价mft28?,"这个健身计划的安全性以及执行它需要的身体机能的准备和这个计划的效果如何评价 补充视频： 1、, 2、, 3、, 4、, 5、, 6、, 每天一个部位，多是巨型组，隔一天练一次腹肌。"
"创业公司,网页游戏",国内收入最高的网页游戏开发团队/开发者有哪些？,并且，能否说说他们的收入状况？ 
"前端开发,创业项目",专门孵化前端团队的精英式前端培训前景如何？,我觉得现在比较能把握的前端比较少。
"股权激励,初创企业,P2P 网络借贷平台,外汇管理局",外汇管理局在 2014 年 7 月新出台的 37 号文对于中国初创企业的员工持股做出了哪些改进？都有何影响？,在 37 号文出来之前，境内居民参与未上市企业的发放的期权的情况是怎样的？ 出来之后，会对这批人产生怎样的影响？
"创业公司,风险投资（VC）,投资银行,首次公开募股（IPO）",当一家创业公司准备上市时，投过它的多家VC谁会主导上市工作呢？,比如说多家大牌VC，都有不错的资源，那么如何去推动这件事情呢？从上市地点到投行选择等等的一系列事情。是领投的或某一家VC得到其他投资人认可后来做，还是说主要VC会一起来做？ p.s 我理解上市的具体工作还是管理层和投行来做，但在这一步之前的事情呢？
"互联网,产品经理,产品运营,微信营销,Growth Hack",如何让用户在微信朋友圈传播你的产品？,产品的分享机制要如何做，才能让用户在微信朋友圈传播你的产品？ 比如红包类：滴滴打车、饿了么必须把红包分享给别人，自己才能领取； 邀请类：邀请好友注册可以获得一定时间的会员、或者一定金额的理财收入之类的； 除了这些以外还有哪些手段呢？有没有方法论之类的？
"iPad,阅读,iPad 应用,阅读的未来,Flipboard",Flipboard 的阅读版式是怎么设计的？,iPad上最好的阅读体验之一Flipboard，他是怎么设计他的阅读版式，或者说他的阅读版式有哪些重要的值得关注的细节。 
"阅读,网站,溯源",阅乎是谁发起的？背后有哪些故事？, 成员有哪些？网站建立的背后有哪些故事？
"书籍推荐,计算机,计算机技术,计算机网络,计算机科学",2014.10:最近有什么出色的计算机书籍值得拜读？,
"法律,电子书,出版业,电子出版,政策风险",我国电子书商（如豆瓣、唐茶等）面临的政策风险有哪些，又如何规避风险？,例如，国家目前对新建出版社审批很严格，而电子书商实际上是一种「出版社」，那么是否面临法律擦边球的问题？ 又看到新闻出版署有「互联网出版业务」许可证，那么电子书商（如唐茶、豆瓣、亚马逊、京东等）是否需要具备相应资质？
"书籍推荐,音乐,书籍,乐器",有哪些值得推荐的关于音乐和乐器的演奏技法以及乐评之类的书？,如《黑白溢彩——荷洛维兹的艺术》等等
"书籍评价,金融,本·伯南克 (Ben Bernanke)",如何评价美联储前主席本·伯南克的《金融的本质》这本书？,虽然它应该算不上是伯南克写的书，因为它只是伯南克说的话，但也不妨碍它具有可读的价值。 不知道金融学的专业人士对这本书是怎么看的呢？
"互联网,电子商务,互联网产品,电子阅读,豆瓣",如何看待和评价虎嗅网《电子阅读江湖报告》一文？,虎嗅网 | 
"杂志,设计,设计师,杂志设计,彭博商业周刊",《彭博商业周刊》封面设计的背后有哪些人或事？,
"经济,书籍,经济学,瑞典银行经济学奖",有哪些好的综述历届诺贝尔经济学奖获得者观点的书籍？,"马上要出2014年的诺贝尔经济学奖了，路透社预测的的经济学奖获得者： , 突然想了解一下历届的获得者对人类思想和方法的创新型贡献是什么？ , , Robert C. Waggoner Professor of Economics, Harvard University Cambridge, MA USA,Lyn Crost Professor Emeritus of S…"
"阅读,豆瓣,豆瓣阅读,豆瓣专栏",豆瓣专栏首批更新，内容质量如何？,
"艺术,书籍,美学,绘画欣赏,艾舍尔",艾舍尔（M. C. Escher）的画迷人在何处？,"觉得不迷人的可以不用答了。 Quick reference here: , "
"数学,代数,代数几何",5000多页的Stacks怎么读?,"the stacks project , 听说是想看那章直接挑出来读的… 那么你们是打印下来看，还是直接看PDF"
音乐,什麼是「音色旋律」？,
"音乐,旋律,音乐人",好的旋律会不会越来越难于创作？甚至有用尽的时候？,如题，随着音乐的发展，好的旋律越来越多，会不会出现好的旋律越来越难于创作，甚至是用尽的时候？
"音乐专辑,SM Entertainment,韩国流行音乐（K-Pop）,韩国流行音乐团体（GROUP）,女子组合",如何评价S.E.S.的二十周年特别专辑《Remember》和二十周年回归企划？,
"文化,娱乐,音乐产业,演出经纪人,中国（上海）自由贸易试验区‭",上海自贸区对娱乐文化和演出经纪产业有何意义？可能为产业带来哪些机会？,
"音乐,音乐产业,演出,中国,原创音乐",音乐人想来中国演出，和哪些方面联系好呢？,"我是音乐人 Fifi Rong（,）, 近年一直在英国表演，今年 10 月会在德国巡回演出。我现在对回中国演出有点兴趣，想知道应该和中国的哪些演出主办人或是 booking agent 联系？ 在国外的音乐节比较多，想做30分钟的演出不是特别难，大小场都可以，我想象是要做嘉宾形式的演出，在这个阶段还没必要开个人演唱会的，就想多了解中国的情况。"
"音乐,爵士乐（Jazz）,音乐技术",如何鉴别 Jazz 中 Free Drumming 的优劣?,"比如 Young Jazz Rebels aka Madlib - Slave Riot, Parts 4-6, After 这段怎么样？"
"音乐,音乐创作",四部和声与具有四个声部的实际音乐作品（四声部合唱、弦乐四重奏等）在写作上有哪些不同之处？,"按照,的说法，“四部和声不是实际的音乐，而只是一种实际的细节化织体化了的音乐的和声上的一种抽象。”那么，同样具有四个声部的实际音乐作品（四声部合唱、弦乐四重奏等）与四部和声在写作上具体有哪些不同之处呢？ （我提问的根本动机在于想知道“四部和声与实际音乐作品的区别”，限定四声部是为了更好的体现这种区别。因此，各位答主不必拘泥于“四个声部”，也可以讨论其它与四部和声有所联系的实际音乐作品。当…"
"Apple Store,音乐,三里屯 Village,苹果公司 (Apple Inc.),推广",若将三里屯苹果店作为推广平台，如何评估其推广效果？,"以推广音乐人新作为例。Idea 来源于@音乐人攻略 , 台湾创作歌手徐佳莹与苹果专卖店STUDIO A合作，让STUDIO A全台门市成为她专辑《理想人生》的宣传窗口。像这样形式新颖的推广方式，你有什么看法？#推广案例#"
"设计,平面设计,艺术史论,艺术教育,艺术留学",“三大构成”是只有中国才有的科目吗？,平面构成、色彩构成、立体构成被称作“三大构成”，是许多视觉艺术类学科的基础科目，网上的资料、教材课本的序言都明确有写它是从包豪斯学校的教育模式中继承而来。 但是据我的搜索来看，这三个名词最初是出现于台湾的艺术教育中，其后被中国大陆的艺术设计类学科采用，然而从未有过对应的英文称呼，换而言之，所谓“三大构成”似乎只是台湾学者构建出来的、只在中文语境中通用的科目及称呼，并不是世界主流的视觉艺术教育科目…
"美食,生活,调查类问题,吃货,外卖",你吃过最棒的外卖是哪一家？原因是什么？,所在城市、街道、外卖特点、服务等……
"建筑,建筑学,现代主义,现代主义建筑,建筑学教育",如何评价 peter eisenman？,如何解读Peter Eisenman的diagram
"日本,建筑师,日本建筑师,建筑设计",如何评价日本建筑师坂本一成和他的作品？,
"植物,林业/林学,城市设计",当年是谁提议在北京种这么多杨树？,
"心理治疗,心理咨询",接受与承诺治疗法（ACT）与其他的心理治疗法相比有哪些优势？,似乎与森田疗法的主旨很接近，和正念也有许多重合的地方，这种疗法有什么过人之处？
"器官捐献,医学,临床医学",为何我国 2/3 捐献器官由红会掌握？我国的器官分配和共享体系是怎样的？,"器官资源在中国作为一种稀缺资源,成为各方争夺对象。地方红会作为器官捐献的第三方机构掌握捐献者资源,移植医院希望从红会获取这项资源,红会以此要求医院捐款,对捐献者进行救助。 via ,相关新闻： , ------------更新评论中的问题---------------- 能否对比我国的共享系统和其他系统比如 UNOS ？ -----------------更新新闻----------------------- "
"广州市,Ingress（增强现实游戏）",如何看待广州 Ingress 328 活动前的预热大戏？,看了标题应该明白是在说什么。
"人工智能,语言学,认知科学,认知心理学,认知语言学",认知语言学现在的发展如何？,本人计算机专业，对认知语言学/心理学有强烈兴趣，但感觉了解前沿研究很有难度。所以想在知乎找专家指点一下大方向。 认知语言学当前的研究热点是什么？认知语言学领域的主要期刊有哪些？（有个期刊就叫cognitive linguistic，但除此之外就不知道了）是否有认知语言学应用在人工智能中的例子？
"音乐,互联网,iPhone 应用,数字音乐,唱片",如何看待星外星推出 App 唱片？,"星外星作为实体唱片发行公司推出 App 唱片，意味着什么？ 新闻：, 创作才女曾檐最近人气急升，成为当下乐迷口中一个热门的谈资。而曾檐所属的唱片公司星外星音乐为满足乐迷的期待，近期动作连连，继不久前替曾檐的新专辑《一》在香港推出ADMS发烧版、实现中港台两岸三地实体唱片全发行后，近日又推出《一》的APP唱片的IOS版本，在苹果的App Store应用商城上架，目前为免费下载。这一举措不单令曾檐的歌唱事业…"
"书籍,文学,负二（知乎用户）",如何解读负二作品《电击敌不过催眠》？,
"书籍推荐,物理学,宇宙学,天文学,天体物理学",请问有哪些由前沿物理学家编著的astronomy（天文学）的科普图书（2000-2017）？,"类似的图书有Princeton frontiers in physics Richard Gott “Welcome to the universe"" “Time travel in einstin's universe"" ""The cosmos web"" Joshua Bloom ""What are Gamma-ray Bursts"" Harry Collins ""Garavity's kiss: The detection of gravitational waves"" etc 最好能涉及一些不太复杂的物理概念，如果有简明数学证明更好（huge bonus）"
"亚马逊 (Amazon.com),互联网,Kindle,亚马逊中国,网店",亚马逊是依照什么来调整价格的？,观察了很久，24小时都会波动，难不成工作人员24小时上班？ （如果是软件，那是什么机制，难不成是借用华尔街金融系统了？）
"书籍,物理学,理论物理,普林斯顿大学 (Princeton University)",如何评价普林斯顿大学出版社的In a Nutshell系列物理教材？," 这套书定位挺高： What's In a Nutshell? More of the best science than ever. In a Nutshell is a new series of concise, accessible, and up-to-date textbooks for advanced undergraduates and graduate students on key subjects in the physical sciences. Part of Princeton University Press's expanding presence in science textbook publishing, this high-profile seri…"
"音乐,数学,乐理",怎样 (在音乐理论上) 通俗的理解 Mazzola 关于拓扑斯在音乐上的应用?,"注意到一本神奇的书 , 但看了一些介绍后, 包括作者在 Math Stackexchange 上的问答, 还是不太理解 topos 对乐曲的意义是什么 (题主对乐理的了解属于读简谱勉强不用从 1 开始数的程度). 主要的疑问是: 1. 它对谱曲和演奏有什么样的影响? 2. 对一首具体的歌来说可以用 topos 做哪些分析 (比如以欢乐颂为例)?"
"音乐,乐理,和声学",中古调式（教会调式）如何运用？,以多利亚小调为例，相当于升高了自然小调的VI级音。然而我在a dorian下在I7-VI-II7-V7，即Am7-#F-Bdim7-E7下弹SOLO怎么弹怎么别扭（我弹吉他），但我在C大调升IV级下弹I7-VI-II7-V7，即Cmaj7-Am-D7-Gmaj7弹又觉得和书上范例的感觉差不多。 那么中古调式究竟如何运用？ Sorry，I7-VI-II7-V7应为Am7-#Fdim-Bm7-E7。
"互联网产品,阅读的未来,Learnist",知识网站 Learnist 何以标榜自己是未来书店？, 它还说：LEARNIST IS A CROWDSOURCED COLLECTION OF THE WORLD'S KNOWLEDGE 使用过程中，我产生了几个问题： 一个典型的 Learnist 编辑者可能从事什么职业？他出于何种动机在 Learnist 上进行编辑？Learnist 与哪些互联网产品相似？相似点与不同点是什么？Learnist 可能的盈利点在哪里？Learnist 是否有 C2C 的价值？有的话预计多久之后会出现？
"音乐,摇滚乐,日本文化",欧美的华丽摇滚（glam rock）与日本的视觉系摇滚（visual rock）有何异同？,
"音乐,华语流行音乐",华语乐坛有哪些混音非常优秀的专辑？,
"音乐,编程语言,编程,计算机音乐",如何学习 Supercollider？,
"音乐,摇滚乐,爱和音乐",如何评价大果的作品《走遍氚星》？,试听地址：
"书籍推荐,风险投资（VC）,投资,天使投资,书籍,专业书籍推荐",关于风险投资的优秀书籍有哪些？,
"音乐,摇滚乐,披头士（The Beatles）,乐器,录音设备",Beatles 的年代使用的录音设备和乐器是什么样的？,为什么他们，听起来，那么，舒服 ～ (╯▽╰) 虽然是很久很久以前的录音。
"互联网,生活,科技,CES 2014",CES 2014 有哪些值得关注的新产品？,希望有个汇总
"Facebook,设计,X 是种怎样的体验",在 Facebook 设计团队工作是怎样的体验？,
"阅读,移动阅读",关于未来的阅读、社区和新媒体，你想听唐茶、指阅、雪球、知乎、有道、36氪讲些什么？,"5月10日长城会组织的移动互联网大会当天晚上7点半，在国家会议中心一层，36氪联合知乎组织一场小型交流活动，邀请唐茶、指阅、雪球、知乎、有道、36氪几个团队的成员，分享他们对未来的阅读、社区和新媒体的见解。（,） 未来5到10年，我们获取信息的方式可能会受到移动阅读、社区和垂直新媒体等的广泛影响，面对具体在做这些产品的人，你想听他们讲些什么内容？"
"互联网,产品设计,RSS,产品,RSS 阅读器",很多人说RSS已死，你赞同这种说法么？为什么？,
"书籍推荐,社会学,经济学,经济学书籍",社会学与经济学的交叉领域的经典著作有哪些？,
"诗歌,诗词,南宋,诗词赏析",晚清词人陈曾寿的词风与唐宋哪位词人的风格最为相似？如何鉴赏他的词作《天香》？,壬申除夕同君适自大连赴旅顺车行百里已昏黑矣先是上为僦一小楼遍寻始至其处门扃无人徬徨久立寒风砭骨仆人觅屋主取钥来乃启而入乞水邻家爇炉煮茗稍回暖气相对兀坐天风海涛中隐隐闻箫鼓爆竹声万感无端因赋此阕（近现代·陈曾寿） 垂海星摇，标岩塔迥，高寒偏撼孤馆。断续邻箫，依微画角，荒峤岁华偷转。 毡毹坐拥，只乱眼、风飘灯飐。酒畔离悰几许，丁宁浪凭归雁。 沾赐近依行殿拜，频传椒盘香暖。故事料应难问，白头宫监。 身老天…
"iOS 应用,电子书,三体（系列小说）,唐茶计划",《三体》iOS 版电子书的发布形式与唐茶系列对比如何？,iNFZM 推出，一系列三本合为一个 App，免费下载试读，应用内付费购买全本。 想比较一下这种发布形式和唐茶的单本销售，部分提供网站试读的策略的优劣。 应用地址：
"书籍,文学,钱锺书（人物）,文学评论,比较文学",看不懂钱锺书先生的《谈艺录》和《管锥编》，但是又很想看明白，应当怎么办？,
"汉语,日语,日语书籍",有哪些论述日语和汉语渊源的书籍或资料？,日语中很多汉字源于汉语；现代汉语中又有很多词汇源于日语。有哪些专门论述日文和中文间的相互影响历程的书籍或资料？ 我知道有一本《日本語と中国語の妖しい関係》（松浦喬二）。
"文化差异,英文名,名著,俄罗斯,俄语",俄罗斯人名是否都有对应的西欧人名？,一直以来都觉得俄国人的名字特别长特别难记，看俄国书总是很难对应人物。但是似乎又有规律可循，比如彼得洛夫就是西欧的彼得，阿列克谢就是亚历山大，叶卡捷琳娜就是凯瑟琳。但是很多似乎无法对应，比如弗拉基米尔，完全看不出可以和什么对应。请问俄国人的名字与西欧人名的对应关系及其规律。谢谢。
"用户体验,Flipboard,谷歌 (Google),Google Currents",Google 推出的新闻杂志 Google Currents 体验如何？相对于 Flipboard 的体验呢？,
"阅读,书籍,豆瓣,豆瓣阅读,字节社",为什么豆瓣阅读里的书不光品类比字节社丰富，而且大半卖得还比字节社更便宜？,我是说，豆瓣阅读书很多2元、3元，很少超过12元，而提供类似服务的字节社收高价（动不动二十多三十，6元算最便宜的，免费书没有···）的底气何在？ 其次，字节社筛选书籍的标准何在？ 这个问题可能提的有冒犯性，请原谅。
"电影,新媒体,微博营销,事件营销,推广",电影在新媒体推广方面有哪些技巧？,在新媒体运营方面又有哪些建议呢？ 希望有经验的人结合实操案例来讲一讲，感谢。
"建筑,建筑材料,材料,建筑工程",扎哈.哈迪德设计中的“白色”都是用什么材料？,建筑小白求问，我拿银河soho举例： 1.建筑外立面的白色 2.室内的这种桌椅小品 3.室外的这种座椅小品，包括指示牌（我感觉像GRC） 
"互联网,移动互联网,出国,互联网从业者,中国",中国的互联网从业者，如果想出国发展，最可行的方案是什么？," , 但在另外我还是简介下个人情况，方便觉得没有具体背景无法分析问题的朋友： 毕业两年，大学专业产品设计，在深圳搞互联网，发展路线是UI=>UE=>产品设计。在知识积累和资源积累都充足后应该会成为大家说的“PM”，家庭条件一般，父母是教师，砸钱出国几乎不可能，除非我自己发展顺利自己赚这个钱，但是我不…"
"音乐,著作权法",被阿里收购后，虾米的版权问题解决的如何了？,版权解决的如何了？ 如果解决了，如何解决的？
"工业设计,设计,汽车品牌,三星电子 (Samsung),Chris Bangle",宝马前设计总监克里斯·班格尔（Chris Bangle）为什么会选择去三星？他在三星主要负责什么？他能改变三星设计「廉价」的印象吗？," Chris Bangle, Chief Designer at BMW for most of the '90s and '00s, who strove to give cars a futuristic, deconstructivist design that didn't always find favor among car buyers who were still stuck in an orderly present. Now we actually are in the future and, well, that rear-end still isn't looking any bette…"
"字体,设计,标志,平面设计,Adrian Frutiger","Frutiger, Transport, Arrival 三款字体作为「标识」用途时各有何优势或不足？","Frutiger, Transport, Arrival 三款字体在设计伊始均是为了「标识」功能，那么三者在「功能性」上相比有何不同侧重之处？在充当「标识」时又各有何优劣之处？ 注：Frutiger 最初是为法国鲁瓦西机场（后更名为戴高乐机场）标识系统设计，Transport 则是充当英国的 M1 高速公路标识系统，Arrival 为英国雷丁大学的路标字体（具体可以查看这个答案 ,）。 "
"音乐,乐队,餐饮,现场音乐（Live Music）,Livehouse",在北京开一家小型 livehouse，主要成本有哪些？回收速度如何？日常经营管理中会有哪些常见问题？,最大容量约200人，白天简餐饮料，晚上乐队表演+酒水。
"音乐,游戏,独立游戏",一般独立游戏的音乐是从哪里买的？一首音乐的费用一般是多少呢？,
"艺术,当代艺术,艺术家,美术",如何看待徐震及其没顶公司的艺术作品？,
"音乐,纪录片,后摇（Post Rock）,现场音乐（Live Music）,惘闻（乐队）",参加惘闻 2015 年 5 月 31 日的即兴声音实验《奇迹寻踪》是怎样的体验？,“程然导演即将完成一部长达9小时的电影，影片是由三个著名的真实探险故事组成，关于探索和谜的执拗。电影的一半段落在中国东海地区和西藏以及瑞士和阿姆斯特丹拍摄完成，另一半在北京的室内影棚内搭景轮船及甲板的局部，以舞台剧的形式拍摄。而穿插在整部电影中贯穿始终的音乐部分，交由中国器乐摇滚的领军乐队——惘闻来完成。对于惘闻，9个小时的电影配乐以及即将发生在室内影棚内的即兴音乐实验，都是一次前所未有、需要探索…
"建筑,建筑设计,建筑师事务所",如何看待张永和 北大建筑和非常建筑 出来的后生及其作品与思想？,如筑博（冯果川）/ 百子甲壹（彭乐乐）/ 多相建筑（陆翔） /众建筑 （臧峰）/以及后来的王子耕 ？他们的作品及思想是否具有某种相似性值得被探讨。
"音乐,歌词,音乐人,作词",歌词创作爱好者应该怎样将作品投递到唱片公司？怎样获得比稿机会？,
音乐,哪些声音艺术家对声音与建筑空间的关系进行过探索？,
"漫画,漫威（Marvel）,美国漫画",在漫威漫画部门工作，是怎样的一番体验？,
"初音未来,哔哩哔哩,VOCALOID,洛天依,中文VOCALOID",2015年后，Vocaloid及其相关文化、相关产业在中国与日本的未来发展趋势将如何？,回答可供参考方向： Niconico/Bilibili中Vocaloid相关投稿数据与创作水平发展趋势； 新声库及Vocaloid相关技术的发展趋势（如Append声库、V4x等录音方案，Vocalistner等插件，Vocalshifter等后期软件，MMD、MMM等3D建模软件）； 本子，手办，主题餐厅等周边文化的发展趋势； 唱片、商业碟、演唱会、动画配音、音乐专业教学等Vocaloid商业化与实际应用的发展趋势； 以Vocaloid文化为背景的同人制品、同人小说故事、同人动画、游戏…
"音乐,音乐产业",港版、台版、美版等 CD 在国内算不算是盗版碟？,"问题源起这条微博：, 星外星唱片在其淘宝店页面上张贴公告，把港版、台版、美版等 CD 定性为「盗版碟」。 星外星所说的可有法律依据？"
"电影,音乐,古典音乐,影视评论,普罗米修斯（电影）",电影《普罗米修斯》中选用了肖邦降 D 大调前奏曲「雨滴」作为配乐，有什么特殊含义吗？,
"音乐,化学",鲍罗丁（Alexander Borodin）在化学方面有哪些贡献？,A.Borodin因作曲家而闻名世界，同时他也是位化学家。可能不少朋友跟我一样对他在音乐方面的贡献如数家珍，但是在化学方面他有什么贡献吗？求教。
"音乐,抄袭,音乐人,流行音乐,编曲",作为一名从事编曲或作曲的音乐人，如何看待金志文在Letv 梦想家音乐会中作品涉嫌抄袭编曲作曲的行为？,今天恰巧看到Letv里有金志文live演出， 名字叫““梦想。家”” 本来对他谈不上喜欢但是也挺欣赏的，可是观看过程中发现很多曲目有大段抄袭John Mayer吉他编曲以及歌曲作曲的行为，一些曲目甚至是直接照搬 网络上搜索相关话题，看到很多数是报道金志文向偶像John Mayer致敬而创作的新曲或新编，但是个人感觉上来说这是直接复制（金志文的吉他技术还是有的） 所以回到问题：作为一名编曲或音乐人，如何看待金志文在Letv 梦想家音…
"话剧,舞台剧,戏剧,音乐剧",对于已入门的戏剧爱好者/工作者来说，有哪些戏值得推荐？,"关联问题：, “,” 如果真的很棒，那么炫耀也很有意义啊。老看老戏已经不知道什么算是“新”戏了，希望可以拓宽眼界 eg. Rober Wilson, Tadashi Suzuki, Eugenio Barba? Ubu Roi, Pillowman?其实感觉这些也不是很新了。4000 Miles, Incident of the dog?但主要就…"
"音乐,互联网,经济",HMV 宣布破产的原因对英国乃至世界音乐产业有何影响？你觉得实体音乐产业的出路是什么？,
"音乐,音乐人",噪音在音乐这种艺术形式中处于什么位置？为什么会有噪音音乐？,
"音乐,爵士乐（Jazz）,声乐,器乐,布鲁斯（Blues）",为什么爵士乐会最终发展成以器乐为主，而同根同源的布鲁斯却始终是以声乐为主？,如果“爵士乐以器乐为主，布鲁斯以声乐为主”这样的描述成立的话。
